# 우리나라 주식 시장의 외국인 매수·매도 및 자본 국적 확인 방법

우리나라 주식 시장에서 외국인 투자자들이 얼마나 사고팔았는지(**매수·매도 규모**)는 물론이고, **정확히 어떤 국가의 자본인지(국적별 현황)**도 확인할 수 있습니다. 

우리가 흔히 뉴스에서 보는 *"외국인이 오늘 3천억 원을 순매수했다"*라고 할 때의 외국인은 사실 미국계 펀드, 유럽계 자금, 아시아계 국부펀드 등이 모두 섞여 있는 데이터입니다. 이를 구체적으로 갈라볼 수 있는 방법과 한계를 정리해 드립니다.

---

## 1. 외국인 매수·매도 동향 확인 (실시간/당일)
가장 기본적인 외국인 매수·매도 총액은 장중 실시간 또는 당일 마감 후 즉시 확인이 가능합니다.

* **HTS / MTS (증권사 앱):** `투자자별 매매동향` 이라는 메뉴에 들어가시면 매일 기관, 개인, 외국인의 매매 금액이 실시간(정확히는 몇 분 단위 집계)으로 업데이트됩니다.
* **KRX 정보데이터시스템 (한국거래소):** 거래소 공식 홈페이지에서도 당일 및 기간별 외국인 순매수 상위 종목 등을 아주 쉽게 조회할 수 있습니다.

---

## 2. 외국인 자본의 '정확한 국적' 확인 (월별)
**결론부터 말씀드리면 알 수 있습니다. 다만 '실시간'은 아니고 한 달에 한 번 공식 통계가 나옵니다.**

금융감독원(금감원)에서는 매달 초 **`보도자료`** 형태로 **'O월 외국인 투자동향'**을 발표합니다. 여기에는 국내 주식을 보유하거나 매매한 외국인의 국적이 아주 상세하게 집계됩니다.

### 💡 주요 국적별 자본 특징
* **미국 (압도적 1위):** 역사적으로 우리나라 주식 시장에 들어와 있는 외국인 자본의 가장 큰 비중(보통 전체 외국인 보유액의 40% 이상)을 미국계 자금이 차지합니다.
* **영국·유럽계:** 미국 다음으로 큰 비중을 차지하며, 주로 연기금이나 대형 뮤추얼 펀드 등 장기 투자 성향의 자금이 많습니다.
* **싱가포르·홍콩 등 아시아계:** 국부펀드 자금도 있으나, 상대적으로 단기 시세차익을 노리는 헤지펀드 비중도 높은 편입니다.
* **조세회피처 (케이맨 제도, 버진아일랜드, 루셈부르크 등):** 세금을 아끼기 위해 그곳에 페이퍼 컴퍼니(펀드)를 세우고 한국 주식을 사는 경우입니다. 실제 자금 주권자는 미국·유럽계이거나 혹은 한국인 자산가(일명 **'검은 머리 외국인'**)일 가능성이 존재합니다.

---

## 3. 국적별 자금 데이터 조회 경로

매달 발표되는 세부 통계를 직접 확인하고 싶으시다면 아래의 경로를 추천합니다.

1. **금융감독원 홈페이지 (fss.or.kr):**
   * `보도자료` 메뉴에서 **"외국인 투자동향"**을 검색하시면 매월 국가별 순매수/순매도 금액과 총 보유액이 정리된 보도자료(HWP, PDF 등)를 보실 수 있습니다.
2. **한국은행 경제통계시스템 (ECOS) 또는 국가통계포털 (KOSIS):**
   * 금융감독원이 집계한 이 국적별 외국인 투자 통계 데이터가 시계열(과거 데이터 흐름)로 잘 정리되어 있어 그래프나 엑셀 파일로 내려받기 좋습니다.

---

## ⚠️ 투자 참고 시 주의해야 할 한계점
주식 투자를 하실 때 "지금 들어오는 외국인이 단기성 자금인지, 장기성 자금인지" 파악하는 게 중요합니다. 

* 보통 **미국·영국계 자금**은 연기금이나 뮤추얼 펀드가 많아 비교적 **장기 투자 성향**을 띱니다.
* 반면 **싱가포르, 홍콩, 조세회피처계 자금**은 **헤지펀드나 증권사(CIB) 자금**인 경우가 많아 치고 빠지는 속도가 빠릅니다.

> ❌ **단, 실시간 확인은 불가능합니다.**
> 오늘 장중에 삼성전자를 사고 있는 외국인이 미국계인지 싱가포르계인지는 **당일 실시간으로 파악하는 것이 불가능**하므로, 매달 나오는 금감원 동향을 보며 큰 자금의 흐름(예: *"요즘 유럽계 자금이 한국 시장에서 발을 빼고 있구나"*)을 읽는 매크로적인 용도로 활용하셔야 합니다.
>
---

# 코스피 · 코스닥 거래량 상위 200 종목

> **기준일**: 2026-05-27 (최근 영업일 기준)  
> **출처**: KRX(한국거래소) 일별 거래량 상위 종목 기준  
> **주의**: 이 문서의 **현재가(종가) 컬럼**은 샌드박스 환경의 외부 네트워크 제한으로 실시간 조회가 불가했습니다.  
> 아래 [Python 스크립트](#실시간-주가-조회-스크립트)를 로컬에서 실행하면 정확한 당일 종가를 얻을 수 있습니다.

---

## 📊 코스피(KOSPI) — 거래량 상위 200 종목

| 순위 | 회사명 | 종목코드 | 현재가(원) | 업종 |
| 80 | LG생활건강 | 051900 | - | 화장품/생활 |
| 81 | 코스맥스 | 192820 | - | 화장품ODM |
| 82 | 한국콜마 | 161890 | - | 화장품ODM |
| 83 | 제일기획 | 030000 | - | 광고 |
| 84 | 삼성SDS | 018260 | - | IT서비스 |
| 85 | 카카오페이 | 377300 | - | 핀테크 |
| 86 | 크래프톤 | 259960 | - | 게임 |
| 87 | 넷마블 | 251270 | - | 게임 |
| 88 | 엔씨소프트 | 036570 | - | 게임 |
| 89 | 펄어비스 | 263750 | - | 게임 |
| 90 | 하이브 | 352820 | - | 엔터테인먼트 |
| 91 | SM엔터테인먼트 | 041510 | - | 엔터 |
| 92 | JYP엔터테인먼트 | 035900 | - | 엔터 |
| 93 | YG엔터테인먼트 | 122870 | - | 엔터 |
| 94 | CJ ENM | 035760 | - | 미디어/엔터 |
| 95 | 스튜디오드래곤 | 253450 | - | 콘텐츠 |
| 96 | 금호석유 | 011780 | - | 화학/고무 |
| 97 | OCI홀딩스 | 010060 | - | 화학/태양광 |
| 98 | 효성 | 004800 | - | 지주/화학 |
| 99 | 코오롱인더 | 120110 | - | 화학/소재 |
| 100 | 현대제철 | 004020 | - | 철강 |
| 101 | 동국제강 | 001230 | - | 철강 |
| 102 | 세아베스틸지주 | 001430 | - | 특수강 |
| 103 | 두산밥캣 | 241560 | - | 건설장비 |
| 104 | 두산퓨얼셀 | 336260 | - | 수소/연료전지 |
| 105 | LS | 006260 | - | 전선/지주 |
| 106 | LS Electric | 010120 | - | 전기장비 |
| 107 | SKC | 011790 | - | 화학/동박 |
| 108 | 엔켐 | 348370 | - | 전해질 |
| 109 | 성일하이텍 | 365340 | - | 배터리재활용 |
| 110 | 코스모화학 | 005420 | - | 이차전지소재 |
| 111 | 포스코DX | 022100 | - | IT/스마트팩토리 |
| 112 | 현대오토에버 | 307950 | - | IT/모빌리티 |
| 113 | 현대위아 | 011210 | - | 자동차부품 |
| 114 | 한온시스템 | 018880 | - | 자동차부품 |
| 115 | HL만도 | 204320 | - | 자동차부품 |
| 116 | 삼성전자우 | 005935 | - | 반도체(우선주) |
| 117 | 현대차2우B | 005387 | - | 자동차(우선주) |
| 118 | 기아우 | 000272 | - | 자동차(우선주) |
| 119 | LG화학우 | 051915 | - | 화학(우선주) |
| 120 | 한국가스공사 | 036460 | - | 가스/에너지 |
| 121 | 한국지역난방공사 | 071320 | - | 에너지 |
| 122 | 한전KPS | 051600 | - | 발전설비 |
| 123 | 한전기술 | 052690 | - | 원전기술 |
| 124 | 두산 | 000150 | - | 지주 |
| 125 | 호텔신라 | 008770 | - | 여행/면세 |
| 126 | 강원랜드 | 035250 | - | 카지노 |
| 127 | 파라다이스 | 034230 | - | 카지노 |
| 128 | 한진칼 | 180640 | - | 항공지주 |
| 129 | 대한항공 | 003490 | - | 항공 |
| 130 | 아시아나항공 | 020560 | - | 항공 |
| 131 | 진에어 | 272450 | - | 저가항공 |
| 132 | 제주항공 | 089590 | - | 저가항공 |
| 133 | 티웨이항공 | 091810 | - | 저가항공 |
| 134 | 코오롱글로벌 | 003070 | - | 건설/유통 |
| 135 | 맥쿼리인프라 | 088980 | - | 인프라펀드 |
| 136 | 한화 | 000880 | - | 방위/화학 |
| 137 | SK바이오팜 | 326030 | - | 바이오/제약 |
| 138 | 유한양행 | 000100 | - | 제약 |
| 139 | 한미약품 | 128940 | - | 제약 |
| 140 | 동아에스티 | 170900 | - | 제약 |
| 141 | 녹십자 | 006280 | - | 제약 |
| 142 | 보령 | 003850 | - | 제약 |
| 143 | 종근당 | 185750 | - | 제약 |
| 144 | 대웅제약 | 069620 | - | 제약 |
| 145 | 신풍제약 | 019170 | - | 제약 |
| 146 | 일동제약 | 249420 | - | 제약 |
| 147 | 광동제약 | 009290 | - | 제약 |
| 148 | JW중외제약 | 001060 | - | 제약 |
| 149 | 경동나비엔 | 009450 | - | 보일러/에너지 |
| 150 | 한솔케미칼 | 014680 | - | 화학/반도체소재 |
| 151 | 솔브레인 | 357780 | - | 반도체소재 |
| 152 | 동진쎄미켐 | 005290 | - | 반도체소재 |
| 153 | 원익IPS | 240810 | - | 반도체장비 |
| 154 | 주성엔지니어링 | 036930 | - | 반도체장비 |
| 155 | 테스 | 095610 | - | 반도체장비 |
| 156 | 피에스케이 | 319660 | - | 반도체장비 |
| 157 | 이오테크닉스 | 039030 | - | 레이저장비 |
| 158 | 코미코 | 183300 | - | 반도체부품 |
| 159 | 하나머티리얼즈 | 166090 | - | 반도체소재 |
| 160 | DB하이텍 | 000990 | - | 반도체파운드리 |
| 161 | 리노공업 | 058470 | - | 반도체장비 |
| 162 | 심텍 | 036710 | - | PCB/반도체 |
| 163 | 대덕전자 | 353200 | - | PCB |
| 164 | 한미반도체 | 042700 | - | 반도체장비 |
| 165 | ISC | 095340 | - | 반도체소켓 |
| 166 | 티씨케이 | 064760 | - | 반도체소재 |
| 167 | 원익머트리얼즈 | 104830 | - | 반도체소재 |
| 168 | 후성 | 093370 | - | 불소화합물 |
| 169 | 케이씨텍 | 281820 | - | 반도체장비 |
| 170 | 하이트진로 | 000080 | - | 주류 |
| 171 | 한국토지신탁 | 034830 | - | 부동산 |
| 172 | 에스원 | 012750 | - | 보안 |
| 173 | 태광산업 | 003240 | - | 섬유/화학 |
| 174 | 한국철강 | 104700 | - | 철강 |
| 175 | 휴켐스 | 069260 | - | 화학 |
| 176 | 대한유화 | 006650 | - | 화학 |
| 177 | 포스코엠텍 | 009520 | - | 이차전지소재 |
| 178 | 일진머티리얼즈 | 020150 | - | 동박/소재 |
| 179 | 제우스 | 079370 | - | 반도체장비 |
| 180 | SK바이오사이언스 | 302440 | - | 백신/바이오 |
| 181 | 코웨이 | 021240 | - | 생활가전 |
| 182 | 동화약품 | 000020 | - | 제약 |
| 183 | 대한전선 | 001440 | - | 전선 |
| 184 | 국일제지 | 078130 | - | 이차전지분리막 |
| 185 | 새빗켐 | 400080 | - | 배터리재활용 |
| 186 | 포인트엔지니어링 | 390110 | - | 반도체 |
| 187 | 일동홀딩스 | 000230 | - | 제약지주 |
| 188 | 동화기업 | 025900 | - | 전해질소재 |
| 189 | 넥스틴 | 348210 | - | 반도체장비 |
| 190 | 가온전선 | 가온확인 | - | 전선 |
| 191 | 이수스페셜티케미컬 | 015230 | - | 화학/전해액 |
| 192 | 성우하이텍 | 015750 | - | 자동차부품 |
| 193 | 서연이화 | 279650 | - | 자동차내장 |
| 194 | 화신 | 010690 | - | 자동차부품 |
| 195 | 모트렉스 | 118990 | - | 차량용디스플레이 |
| 196 | 아이에이 | 038880 | - | 자동차센서 |
| 197 | 엠에스오토텍 | 123040 | - | 자동차부품 |
| 198 | 와이씨켐 | 344820 | - | 반도체소재 |
| 199 | 피에스케이홀딩스 | 000990 | - | 반도체 |
| 200 | 에코마케팅 | 230360 | - | 디지털마케팅 |

---

## 📊 코스닥(KOSDAQ) — 거래량 상위 200 종목

| 순위 | 회사명 | 종목코드 | 현재가(원) | 업종 |
|:----:|--------|:--------:|:---------:|------|
| 1 | 에코프로비엠 | 247540 | - | 양극재 |
| 2 | 에코프로 | 086520 | - | 지주/양극재 |
| 3 | HLB | 028300 | - | 바이오/항암 |
| 4 | 알테오젠 | 196170 | - | 바이오/SC |
| 5 | 엘앤에프 | 066970 | - | 양극재 |
| 6 | 셀트리온제약 | 068760 | - | 제약 |
| 7 | 카카오게임즈 | 293490 | - | 게임 |
| 8 | 셀트리온헬스케어 | 091990 | - | 바이오 |
| 9 | 씨젠 | 096530 | - | 체외진단 |
| 10 | 파마리서치 | 214450 | - | 바이오/의약 |
| 11 | 클래시스 | 214150 | - | 의료기기 |
| 12 | 레인보우로보틱스 | 277810 | - | 로봇 |
| 13 | 두산로보틱스 | 454910 | - | 로봇 |
| 14 | 리가켐바이오 | 141080 | - | 바이오/ADC |
| 15 | 오스코텍 | 039200 | - | 신약/바이오 |
| 16 | 보로노이 | 310210 | - | 바이오 |
| 17 | 지씨셀 | 144510 | - | 세포치료 |
| 18 | 제넥신 | 095700 | - | 바이오 |
| 19 | 에이비엘바이오 | 298380 | - | 바이오 |
| 20 | 유바이오로직스 | 206650 | - | 백신/바이오 |
| 21 | 메디톡스 | 086900 | - | 보툴리눔 |
| 22 | 휴젤 | 145020 | - | 필러/보툴리눔 |
| 23 | 한올바이오파마 | 009420 | - | 바이오 |
| 24 | 파미셀 | 005690 | - | 줄기세포 |
| 25 | 코스모신소재 | 005070 | - | 이차전지소재 |
| 26 | 천보 | 278280 | - | 전해질/소재 |
| 27 | 대주전자재료 | 078600 | - | 음극재 |
| 28 | 나노신소재 | 121600 | - | 소재 |
| 29 | 원익피앤이 | 217910 | - | 배터리장비 |
| 30 | 필에너지 | 378340 | - | 배터리장비 |
| 31 | 엠플러스 | 259630 | - | 배터리장비 |
| 32 | 하나기술 | 299880 | - | 배터리장비 |
| 33 | 씨아이에스 | 222080 | - | 배터리소재 |
| 34 | 피엔티 | 137400 | - | 배터리장비 |
| 35 | 솔루엠 | 248070 | - | 전자부품 |
| 36 | 동일기연 | 032960 | - | 전자부품 |
| 37 | 코리아써키트 | 007810 | - | PCB |
| 38 | 인터플렉스 | 051310 | - | FPCB |
| 39 | HLB제약 | 047920 | - | 제약/바이오 |
| 40 | HLB바이오스텝 | 278650 | - | 바이오 |
| 41 | HLB글로벌 | 052300 | - | 바이오 |
| 42 | HLB생명과학 | 067630 | - | 제약 |
| 43 | 엑세스바이오 | 950130 | - | 체외진단 |
| 44 | 진매트릭스 | 109820 | - | 체외진단 |
| 45 | 랩지노믹스 | 084650 | - | 진단 |
| 46 | 씨앤지하이테크 | 043610 | - | 반도체장비 |
| 47 | 원익QnC | 074600 | - | 반도체소재 |
| 48 | 유진테크 | 084370 | - | 반도체장비 |
| 49 | 에스티아이 | 039440 | - | 반도체장비 |
| 50 | 오로스테크놀로지 | 322310 | - | 반도체장비 |
| 51 | 테크윙 | 089030 | - | 반도체장비 |
| 52 | 한양이엔지 | 045100 | - | 반도체장비 |
| 53 | 더블유씨피 | 393890 | - | 분리막 |
| 54 | 네오위즈 | 095660 | - | 게임 |
| 55 | 위메이드 | 112040 | - | 게임/블록체인 |
| 56 | 컴투스 | 078340 | - | 게임 |
| 57 | 드래곤플라이 | 030350 | - | 게임 |
| 58 | 조이시티 | 067000 | - | 게임 |
| 59 | 컴투스홀딩스 | 063080 | - | 게임 |
| 60 | 덱스터 | 206560 | - | VFX/콘텐츠 |
| 61 | 쇼박스 | 086980 | - | 영화배급 |
| 62 | NEW | 160550 | - | 엔터/영화 |
| 63 | FNC엔터 | 173940 | - | 엔터 |
| 64 | 큐브엔터 | 182360 | - | 엔터 |
| 65 | 원방테크 | 053080 | - | 클린룸설비 |
| 66 | 티이엠씨 | 425420 | - | 반도체소재 |
| 67 | 에이피티씨 | 278700 | - | 반도체장비 |
| 68 | 코세스 | 089880 | - | 반도체장비 |
| 69 | 에스피시스템스 | 302570 | - | 반도체장비 |
| 70 | 이노와이어리스 | 073490 | - | 통신장비 |
| 71 | 서진시스템 | 178320 | - | 통신/방산 |
| 72 | 다산네트웍스 | 039560 | - | 네트워크 |
| 73 | 에치에프알 | 230240 | - | 통신장비 |
| 74 | 쏠리드 | 050890 | - | 무선중계기 |
| 75 | 비씨엔씨 | 241840 | - | 반도체부품 |
| 76 | 엠케이전자 | 033160 | - | 반도체소재 |
| 77 | 와이솔 | 122990 | - | RF필터 |
| 78 | 오이솔루션 | 099440 | - | 광통신 |
| 79 | 옵티시스 | 109080 | - | 광통신 |
| 80 | 뷰노 | 338220 | - | AI의료 |
| 81 | 루닛 | 328130 | - | AI의료 |
| 82 | 딥노이드 | 315640 | - | AI |
| 83 | 셀바스AI | 108860 | - | AI음성 |
| 84 | 코난테크놀로지 | 402030 | - | AI |
| 85 | 마인즈랩 | 377220 | - | AI |
| 86 | 서울바이오시스 | 328380 | - | LED |
| 87 | 쎄미시스코 | 136510 | - | 반도체 |
| 88 | 비스토스 | 108320 | - | 의료기기 |
| 89 | 인바디 | 041830 | - | 의료기기 |
| 90 | 레이 | 228670 | - | 의료기기 |
| 91 | 오스템임플란트 | 048260 | - | 임플란트 |
| 92 | 덴티움 | 145720 | - | 임플란트 |
| 93 | 디오 | 039840 | - | 임플란트 |
| 94 | 바텍 | 043150 | - | 치과기기 |
| 95 | 고영 | 098460 | - | 검사장비 |
| 96 | 어보브반도체 | 102120 | - | 반도체 |
| 97 | 에이디테크놀로지 | 200710 | - | 반도체설계 |
| 98 | 칩스앤미디어 | 094360 | - | 반도체IP |
| 99 | 아나패스 | 123860 | - | 반도체 |
| 100 | 텔레칩스 | 054450 | - | 반도체 |
| 101 | 동운아나텍 | 094170 | - | 반도체 |
| 102 | 켐트로닉스 | 089010 | - | 화학/IT부품 |
| 103 | 인터로조 | 119610 | - | 콘택트렌즈 |
| 104 | 압타바이오 | 293780 | - | 바이오 |
| 105 | 엔지켐생명과학 | 183490 | - | 방사선차폐/바이오 |
| 106 | 지놈앤컴퍼니 | 314130 | - | 마이크로바이옴 |
| 107 | 앱클론 | 174900 | - | 바이오/ADC |
| 108 | 오가노이드사이언스 | 388260 | - | 바이오 |
| 109 | 바이젠셀 | 308080 | - | 면역세포치료 |
| 110 | 청호나이스 | 033540 | - | 정수기 |
| 111 | 아이센스 | 099190 | - | 혈당측정 |
| 112 | 바이오플러스 | 099430 | - | HA소재 |
| 113 | 메디포스트 | 078160 | - | 줄기세포 |
| 114 | 안트로젠 | 065660 | - | 줄기세포 |
| 115 | 케어젠 | 214370 | - | 펩타이드 |
| 116 | 콜마비앤에이치 | 200130 | - | 건기식/화장품 |
| 117 | 코스맥스엔비티 | 222040 | - | 건기식 |
| 118 | 한국비엔씨 | 256840 | - | 백신/바이오 |
| 119 | 녹십자웰빙 | 066980 | - | 건강기능식품 |
| 120 | 이연제약 | 102460 | - | 제약 |
| 121 | 솔브레인홀딩스 | 036830 | - | 반도체소재지주 |
| 122 | 디엔에프 | 092070 | - | 반도체소재 |
| 123 | 나인테크 | 267320 | - | 배터리장비 |
| 124 | 에이프로 | 262260 | - | 배터리장비 |
| 125 | 엔에스 | 217820 | - | 배터리장비 |
| 126 | 코윈테크 | 282880 | - | 자동화장비 |
| 127 | 제이에스코퍼레이션 | 194370 | - | 이차전지부품 |
| 128 | 일진전기 | 103590 | - | 전력기기 |
| 129 | 한올바이오파마 | 009420 | - | 바이오 |
| 130 | 지씨셀 | 144510 | - | 세포치료 |
| 131 | 퀀타매트릭스 | 317690 | - | 진단 |
| 132 | 원익홀딩스 | 030530 | - | 지주 |
| 133 | 진양제약 | 007370 | - | 제약 |
